,title
0,[問題] 富邦j卡新戶禮
1,[心得] 玉山 u bear/pi 核卡、台新富邦調額
2,Re: [情報] 中信ANA消費應援哩活動(加碼名額)
3,[問題] 台新@gogo調額
4,[心得] 渣打現金回饋御璽卡 未過
5,Re: [閒聊] 本月玉山Only最新抽獎回饋
6,[情報] 台新也有3倍券 刷50換150 分眾簡訊
7,[心得] 富邦J卡 星展炫晶 永豐幣倍 國泰Costco 核卡
8,Re: [情報] 玉山pi分眾屈臣氏促刷活動
9,[新聞] 為家人上網預購振興券 刷聯邦卡回饋2％
10,[問題] apple pay算實體刷卡後續疑問
11,[心得] 神奇的匯豐及渣打新光星展凱基 核卡心得
12,[心得] 渣打現金回饋御璽卡 核卡（Money101）
13,[心得] 新光 凱基 新戶核卡
14,[心得] 渣打現金回饋御璽卡 核卡(money101)
15,[心得] 中信 LinePay 商務御璽(城市樂跑) 核卡
16,[問題] 有人信用卡不是用掛號寄來的嗎?
17,[心得] 渣打現金回饋/富邦J 核卡
18,Re: [閒聊] 新光悠遊晶緻卡新戶/回饋活動懶人包整理
19,[問題] 信用卡繳稅後如何付款
20,[心得] 富邦j卡未核
21,[心得] 富邦悍將聯名卡核卡
22,[問題] 申請信用卡的財力證明可以用土地謄本嗎？
23,[心得] 渣打現金回饋御璽卡 核卡
24,[心得] 元大鑽金Hello Kitty聯名卡
25,[心得] 大滿貫之路 匯豐現金 合庫卡娜核卡(18家)
26,"Re: [問題] 請問109年燃料費,有信用卡可回饋嗎?"
27,Re: [情報] 「卡莉嗨」信用卡回饋查詢app
28,[問題] 玉山wallet 線上繳費疑問
29,[問題] 聯邦Line Pay Money繳卡費2%
30,[新聞] 三倍券15日上路 經濟部推數位券、紙本券 
31,[心得] 玉山Ubear悠遊聯名卡(黃)高雄Youbike2.0
32,Re: [心得] U Bear 不佔額度分期回饋
33,[心得] 渣打現金回饋御璽卡 核卡
34,[閒聊] 笑死!三倍券綁信用卡最不划算!改換紙本!
35,Re: [閒聊] 笑死!三倍券綁信用卡最不划算!改換紙本!
36,[問題] 樂天綁linepay付款ubereat?
37,[問題] 嘟嘟房停車信用卡折抵問題
38,Re: [問題] 樂天綁linepay付款ubereat?
39,[問題] 影城自動售票有列入U熊回饋？
40,[問題] 請問去雷射近視的消費刷卡
41,[情報] 玉山Ubear粉紅icash 全新上市
42,[心得] 永豐幣倍/渣打現金回饋御璽卡
43,[心得] 台新GOGO核卡
44,[問題] 請問這是信用卡的外幣消費嗎?
45,Re: [閒聊] 笑死!三倍券綁信用卡最不划算!改換紙本!
46,[心得] @GoGo icash御璽卡 領現金袋小白 核卡
47,[問題] 富邦台哥大聯名卡--沒有正常回饋
48,[問題] 振新券搭新戶辦信用卡的回饋推薦
49,[心得] 渣打現金回饋御璽卡 核卡
50,[心得] 研究助理 學貸小白 玉山ＵBear核卡
51,[情報] 兆豐e秒Happy悠遊鈦金卡/金融信用卡
52,[新聞] 銀行拚振興商機 祭信用卡國旅優惠
53,[心得] 新光寰宇現金回饋卡 核卡
54,[問題] 幼兒園學費繳納
55,[情報]玉山世界/無限卡享指定飯店10%現金回饋 
56,[心得] 渣打現金回饋御璽卡 核卡
57,[問題] 2020下半年中油回饋哪張高呢？
58,[問題] 頂級卡會有推銷電話嗎？
59,[問題] 新光三越聯名卡的使用頻率
60,[討論]2020年繳燃料費用聯邦賴點卡
61,[心得] 玉山國泰調額，感謝太陽
62,[心得] 多家銀行調額心得
63,Re: [問題] 2020下半年中油回饋哪張高呢？
64,[心得] 渣打現金回饋御璽卡 核卡
65,[心得] 渣打現金回饋卡/富邦J卡/永豐幣倍卡 核卡
66,[心得] 台新GoGo卡 已核卡
67,[心得] 玉山Pi卡&花旗現金回饋卡申請
68,[問題] 關於刷卡金額限制
69,[問題] 三倍券刷卡通路
70,[心得] 聯邦賴點卡換卡（附三代卡面
