,name
0,APPLE MacBook Air系列 i3 雙核心/8G/256G/銀/金/灰 13吋筆電 2020新機 【現貨】
1,APPLE MacBook Air系列 i5/8G/128G/銀/金/灰 13吋筆電 2019年版 【現貨】
2,華碩 ASUS TUF Gaming FA506IU 15.6吋 144Hz 電競筆電 R7 16G GTX1660Ti
3,ASUS 華碩 Laptop 14 X409 X409MA-0061GN4100 14吋 灰 筆電 窄邊
4,Microsoft微軟 Surface Go 2–4425Y/8G/128G/10.5吋平板筆電 超值組合
5,Lenovo 聯想 IdeaPad S540 81NH000GTW 3500U/8G/14吋 筆電 金[折扣碼現折]
6,Microsoft office 365 ESD 無盒版 可直接開通
7,[最強續航] 華碩 ASUS S403FA S403 VivoBook S14 四邊窄框輕薄軸承筆電
8,Macbook AIR PRO 轉接卡 2014 15 A1465 A1466 A1502 硬碟擴充 支援 NVMe
9,☆宏軒資訊☆全新華碩 宏基 聯想 惠普 戴爾 索尼 微星 東芝 筆電通用FFC軟排線$50
10,送無線鼠$7790快買 🙆🙆輕薄款🙆🙆ASUS 華碩 筆電 E203MA-0101EN4000(64G) 粉/白
11,【ASUS】X509JB 15.6吋雙碟輕薄筆電
12,ACER 宏碁 Swift 3 SF314 42 R5CD R7-4700U 8GB 512G 銀14吋 輕薄筆電
13,ACER 宏碁 Swift 3 SF314 58G 52AL i5 256G+1T 粉 14吋 筆電 [原廠升級版]
14,清倉【ASUS】FX505GE (i7-8750H/8G/256SSD+1TB/GTX1050Ti/W10
15,ACER 宏碁 Swift 5 SF514 54GT 729E i7-1065G7 MX250 藍 14吋 觸控筆電
16,ASUS ROG Zephyrus GA502DU-0024A3750H 華碩西風之神電競筆電
17,14吋 全新筆電 win10 超速快感 全新 中文 筆電  筆記型電腦
18,眾多二手文書機，小筆電清倉特價處理，歡迎選購下單
19,*CP*華碩 ASUS E203MA-0091AN4000 珍珠白『實體店面』E203NA  E203 全新未拆
20,Acer switch 10 win10 觸控變形平板筆電， 不接受殺價
21,聯想 lenovo L340-15IRH 81LK00ED I5/8G/GTX1650/512G 獨家 電競 福利品出清
22,ASUS 華碩 VivoBook X712 X712FA-0138S10110U i3/4G 17吋 大螢幕 筆電 銀
23,ACER 宏碁 Swift 3 SF314 56G 501T i5-8265U  MX250 銀 14吋 輕薄筆電
